id,rate,name,grade,style,region_id,crag_id,area_id
1,3,The Illness and the Cure,V5,1,1,1,1
2,3,Golden Pinch,V5,1,1,1,1
3,3,Golden Pinch Low,V11,1,1,1,1
4,5,Invincible,V10,1,1,1,1
5,4,Cruelty and Splendor,V10,1,1,1,1
6,3,The Hypothetical,V8,1,1,1,1
7,4,The Hypothetical Low,V12,1,1,1,1
8,3,Crystal Ball,V2,1,1,1,1
9,4,The Fortune Teller,V8,1,1,1,1
10,3,It's all in the Hips,V7,1,1,2,2
11,4,Spatula,V4,1,1,2,2
12,3,Frying Pan,V5,1,1,2,2
13,2,Panda Slab,V0,1,1,2,2
14,1,Panda Problem,V1,1,1,2,2
15,2,"The Strong Silent Type",V5,1,1,2,2
16,3,Pandamonium,V2,1,1,2,2
17,5,Panda Milk,V2,1,1,2,2
18,3,The Pandaverse,V3,1,1,2,2
19,2,Cluster Bomb War Fish,V1,1,1,2,2
20,2,Kenny Crack Corn,V0,1,1,2,2
21,3,Lucas Tease,V3,1,1,2,3
22,3,Edge Fund,V1,1,1,2,3
23,3,Petty Theft,V7,1,1,2,3
24,4,Mister Meaner,V5,1,1,2,3
25,3,Highway Robbery,V4,1,1,2,3
26,4,"Two, Tree",V3,1,1,2,3
27,2,Creekside Hustle,V0+,1,1,2,3
28,2,The World's Strongest Teapot,V5,1,1,2,3
29,5,Isreal's Cave,V6,1,1,3,4
30,4,Theory of Everything,V7,1,1,3,4
31,3,The Plagiarist,V6,1,1,3,4
32,3,The Plagiarist Low,V8,1,1,3,4
33,3,A Brief Moment of Clarity,V8,1,1,3,4
34,3,Double Standard,V9,1,1,3,4
35,3,Second Class Citizen,V7,1,1,3,4
36,4,The Lorax,V10,1,1,3,4
37,2,Rhea,V2,1,1,3,4
38,3,Rhea's Traverse,V5,1,1,3,4
39,3,Catharsis,V6,1,1,3,4
40,4,Five Stitches,V7,1,1,3,5
41,3,Manwich Traverse,V5,1,1,3,5
42,3,Rock Lobster,V5,1,1,3,5
43,2,Für das Schwein,V2,1,1,3,5
44,2,Little Jimmy,V2,1,1,3,5
45,3,Big Banana Traverse,V5,1,1,3,5
46,2,Prancing Perambulator,V2,1,1,3,5
47,4,"Long Walk, Short Dog",V7,1,1,3,6
48,1,Shitty Kitty,V0+,1,1,3,6
49,5,Dirty Bird,V3,1,1,3,6
50,3,The Birdy,V6,1,1,3,6
51,4,Rewind,V9,1,1,3,6
52,1,Psycosis,V1,1,1,3,6
53,5,Princesses Don't Whine,V7,1,1,3,6
54,3,Mind Meld,V6,1,1,3,6
55,4,Elemental Project,VH,1,1,3,6
56,2,Corner Store,V1,1,1,3,6
57,1,I Don't Know,V0,1,1,3,6
58,3,The Silver Dollar Arête,V5,1,1,3,7
59,3,Sweetfall,V5,1,1,3,7
60,2,Tunnel's End,V4,1,1,3,7
61,1,The Subway Mouse,V3,1,1,3,7
62,1,Stellaluna,V0-,1,1,3,7
63,1,Ripper,V0-,1,1,3,7
64,3,Carmel,V2,1,1,3,7
65,3,Goo Traverse,V3,1,1,3,7
66,2,Snowstorm,V2,1,1,3,7
67,2,Star of the Sea,V1,1,1,3,7
68,3,Moon Shell,V1,1,1,3,7
69,2,Weakness,V4,1,1,3,7
70,2,Consolidated,V4,1,1,3,7
71,3,Full Throttle,V4,1,1,3,7
72,3,Zero,V5,1,1,3,7
73,2,Brutal Equation,V2,1,1,3,7
74,2,Entertainment Tonight,V0,1,1,3,7
75,2,Dominion,V0,1,1,3,7
76,2,CNN,V1,1,1,3,7
77,2,Ish,V2,1,1,3,9
78,2,Family Affair,V0+,1,1,3,9
79,2,Lard fo the Thighs,V0-,1,1,3,9
80,3,Pasted,V3,1,1,3,9
81,2,Pooperscooper,V0+,1,1,3,9
82,2,Altered States,V0,1,1,3,9
83,3,Didacts and Narpents,V6,1,1,3,9
84,2,Quick Tick,V1,1,1,3,9
85,3,"Catamite's Delight",V1,1,1,3,9
86,2,Shakeup,V0+,1,1,3,9
87,3,Triple J Day,V0,1,1,3,9
88,2,Double J,V4,1,1,3,9
89,3,Handible Lecture,V4,1,1,3,9
90,2,Traversty,V0,1,1,3,9
91,1,Slice of Life,V0,1,1,3,9
92,5,Prime Time,V2,1,1,3,9
93,4,Prime Time Sit-down,V5,1,1,3,9
94,3,"Shaken, Not Stirred",V4,1,1,3,9
95,2,Green Traverse,V5,1,1,3,9
96,2,Green Extension,V8,1,1,3,9
97,2,Green Pea,V3,1,1,3,9
98,1,Tension Slap,V3,1,1,3,9
99,2,Rendition,V0-,1,1,3,9
100,1,Pride and Glory,V0+,1,1,3,9
101,2,Man on Wire,V0-,1,1,3,9
102,2,Eye,V0,1,1,3,9
103,5,Summoning,V12,1,1,3,9
104,3,Vertigo,V4,1,1,3,9
105,4,Natural Reaction,V7,1,1,3,9
106,3,"Tonight's Feature",V3,1,1,3,9
107,2,"The Bigger, the Better",V1,1,1,3,9
108,3,Achtung Baby,V4,1,1,3,9
109,4,Missing in Action,V8,1,1,3,9
110,3,Missing Reaction,V8,1,1,3,9
111,3,Head and Shoulders,V3,1,1,3,9
112,1,Road to Nowhere,V2,1,1,3,9
113,3,The Low Road,VH,1,1,3,9
114,2,Bog Wall Traverse,V3,1,1,3,8
115,3,Bog Wall Roof,V8,1,1,3,8
116,2,"All French, All The Time",V3,1,1,3,8
117,1,Overlooked,V2,1,1,3,8
118,3,Jam Session,V3,1,1,3,8
119,3,Praying Mantis,V5,1,1,3,8
120,3,Rat Traverse,V3,1,1,3,8
121,3,GTV,V8,1,1,3,8
122,3,GTA,V8,1,1,3,8
123,2,Veloce,V8,1,1,3,8
124,2,Sparky,V1,1,1,3,8
125,3,Dark Days,V2,1,1,3,8
126,2,Start,V3,1,1,3,8
127,2,Couger Crack,V0+,1,1,3,8
128,3,Ice Storm,V3,1,1,3,8
129,3,Warp Spasm,V7,1,1,3,8
130,2,Pearl Necklace,V5,1,1,3,8
131,2,Shin Pain,V3,1,1,3,8
132,2,Neil and Bob,V5,1,1,3,8
133,2,Feeling Cranky,V4,1,1,3,8
134,1,"Barely Crankin'",V0+,1,1,3,8
135,1,Right-hand Man,V1,1,1,3,8
136,3,Fear Factor,V5,1,1,3,8
137,4,"Patch's Send",V5,1,1,3,8
138,4,The Watchtower,V5,1,1,3,10
139,2,Two Riders,V3,1,1,3,10
140,3,The Joker,V3,1,1,3,10
141,3,The Thief,V5,1,1,3,10
142,3,Much Confusion,V4,1,1,3,10
143,2,No Relief,V2,1,1,3,10
144,2,Whaleback,V4,1,1,3,10
145,1,Napalm Brain,V1,1,1,3,10
146,2,Upside Down,V3,1,1,3,10
147,5,Five-Star Pillar,V5,1,1,3,10
148,3,Algae Eater,V3,1,1,3,10
149,1,"Kinda' Silly",V0-,1,1,3,10
150,1,Schnitzel Boy,V0,1,1,3,10
151,1,One Way Out,V0+,1,1,3,10
152,1,Miner Traverse,V2,1,1,3,10
153,2,Annie Likes It,V0-,1,1,3,10
154,2,Chump Jump,V1,1,1,3,10
155,1,Fractured Fairytales,V0+,1,1,3,10
156,2,Kraft Dinner,V3,1,1,3,10
157,2,"Crimpin' Ain't Easy",V11,1,1,3,10
158,2,The Water Throne,V5,1,1,4,11
159,5,Fantastic Mr.Fox,V7,1,1,4,11
160,4,Progression in Backwards Thinking,V10,1,1,4,11
161,3,A Time That Never Was,V9,1,1,4,11
162,2,Paranoid State,V3,1,1,4,11
163,2,Left Arête,V1,1,1,4,11
164,3,Flight of the Tea Cosy,V7,1,1,4,11
165,5,The Silk Road,V12,1,1,4,11
166,5,Disproving God,V6,1,1,4,12
167,4,Sacrilege,V8,1,1,4,12
168,4,My Personal Savior,V9,1,1,4,12
169,3,"Old Dog, New Trick",V6,1,1,4,12
170,3,Old Dog Left,V8,1,1,4,12
171,3,The Boy Who Cried Wolf,V3,1,1,4,12
172,5,Slippery When Wet,V7,1,1,4,12
173,4,Dihedral Project,VH,1,1,4,12
174,2,Breakdown,V6,1,1,4,12
175,3,Snot Polished,V4,1,1,4,12
176,2,Balls in the Falls,V3,1,1,4,12
177,4,Raging Waters,V8,1,1,4,12
178,3,Pretty Pillar,V1,1,1,4,12
